protocol,fold,group,n_test,pos_rate,auc
DS-known,1,BAE__DEGEE,99,0.5757575757575758,0.9678362573099415
DS-known,2,DMAC|TEPA__NO_SOLVENT,99,0.6464646464646465,0.871875
DS-known,3,AMB__DEGEE,99,0.6767676767676768,0.7224813432835822
DS-known,4,MAE__DEGEE,98,0.6326530612244898,0.7513440860215054
DS-known,5,DGA__DEGEE,98,0.7653061224489796,0.846376811594203
DS-unknown,1,MEA,121,0.7520661157024794,0.8556776556776557
DS-unknown,2,MAE,93,0.44086021505376344,0.8316135084427767
DS-unknown,3,DMAC|TEPA,93,0.7526881720430108,0.8773291925465838
DS-unknown,4,BAE,93,0.7204301075268817,0.7502870264064294
DS-unknown,5,EAE,93,0.6021505376344086,0.8836872586872586
LOCO,1,1-amino-2-propanol,16,0.8125,1.0
LOCO,2,2MPRZ,6,1.0,
LOCO,3,AEEA,12,0.9166666666666666,1.0
LOCO,4,AEP,28,0.8928571428571429,0.6266666666666667
LOCO,5,AM2B,3,0.0,
LOCO,6,AMB,1,0.0,
LOCO,7,AMP,4,1.0,
LOCO,8,BAE,6,0.0,
LOCO,9,BDA,1,1.0,
LOCO,10,BZMEA,5,0.0,
LOCO,11,DAP,11,1.0,
LOCO,12,DEA,12,1.0,
LOCO,13,DEEA,14,0.0,
LOCO,14,DETA,50,0.84,0.8095238095238095
LOCO,15,DGA,4,1.0,
LOCO,16,EAE,23,0.8260869565217391,1.0
LOCO,17,HxA,2,0.5,1.0
LOCO,18,IPMEA,5,0.0,
LOCO,19,MAE,72,0.3888888888888889,0.7467532467532467
LOCO,20,MAPA,14,0.7857142857142857,0.7272727272727273
LOCO,21,MCA,1,1.0,
LOCO,22,MEA,125,0.76,0.8610526315789474
LOCO,23,MPA,3,0.0,
LOCO,24,OtA,2,0.5,1.0
LOCO,25,PtA,2,0.5,1.0
LOCO,26,TEPA,22,0.8181818181818182,0.8611111111111112
LOCO,27,TETA,49,0.42857142857142855,1.0
strict_amine_object_holdout,1,1-amino-2-propanol,8,0.625,1.0
strict_amine_object_holdout,2,2MPRZ,6,1.0,
strict_amine_object_holdout,3,AEEA,1,0.0,
strict_amine_object_holdout,4,AEP,28,0.8928571428571429,0.6266666666666667
strict_amine_object_holdout,5,AM2B,3,0.0,
strict_amine_object_holdout,6,AMB,1,0.0,
strict_amine_object_holdout,7,AMP,4,1.0,
strict_amine_object_holdout,8,BAE,6,0.0,
strict_amine_object_holdout,9,BZMEA,5,0.0,
strict_amine_object_holdout,10,DAP,5,1.0,
strict_amine_object_holdout,11,DEA,12,1.0,
strict_amine_object_holdout,12,DEEA,1,0.0,
strict_amine_object_holdout,13,DETA,28,0.7142857142857143,0.9875
strict_amine_object_holdout,14,DGA,1,1.0,
strict_amine_object_holdout,15,EAE,23,0.8260869565217391,1.0
strict_amine_object_holdout,16,IPMEA,5,0.0,
strict_amine_object_holdout,17,MAE,69,0.4057971014492754,0.7839721254355401
strict_amine_object_holdout,18,MEA,121,0.7520661157024794,0.86007326007326
strict_amine_object_holdout,19,MPA,3,0.0,
strict_amine_object_holdout,20,TEPA,16,0.875,0.8571428571428572
strict_amine_object_holdout,21,TETA,6,1.0,
